date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-04-16,31.049999,17.790001,6.65,5.49,17.9,36.220001,51.59,74.260002,74.260002,64.809998,52.049999,46.150002,42.959999,42.369999,43.209999,48.529999,61.330002,79.669998,92.919998,113.989998,124.519997,104.459999,90.099998,84.099998
2024-04-17,83.839996,83.839996,81.349998,82.400002,82.959999,83.730003,109.389999,169.970001,155.169998,104.620003,83.900002,79.900002,80.300003,79.059998,77.709999,77.029999,80.0,86.900002,114.970001,159.919998,169.899994,130.059998,99.040001,87.809998
2024-04-18,91.830002,87.419998,88.529999,87.760002,89.610001,93.470001,121.879997,155.800003,131.190002,101.120003,90.209999,83.870003,80.639999,77.199997,73.010002,70.699997,70.879997,81.330002,94.029999,125.239998,128.830002,105.919998,89.889999,79.370003
2024-04-19,77.209999,60.830002,50.529999,49.470001,47.970001,49.080002,60.119999,70.739998,77.870003,69.25,61.27,57.279999,52.16,48.669998,46.380001,47.310001,50.91,57.360001,63.080002,63.75,64.690002,64.610001,63.709999,61.630001
2024-04-20,58.790001,56.580002,55.950001,57.75,61.040001,62.830002,63.919998,67.980003,65.040001,59.900002,50.049999,38.43,28.969999,12.33,10.55,18.33,37.41,62.830002,78.900002,89.610001,97.040001,90.309998,86.07,82.900002
2024-04-21,81.849998,70.589996,69.529999,64.400002,63.880001,63.619999,64.43,60.529999,60.880001,54.73,43.290001,42.470001,43.939999,42.139999,41.48,41.93,47.700001,58.68,74.599998,89.360001,95.260002,91.07,89.410004,88.459999
2024-04-22,78.970001,78.050003,78.440002,79.919998,79.790001,87.5,105.900002,130.789993,117.459999,97.050003,81.860001,81.239998,77.050003,73.669998,74.129997,76.589996,81.57,96.790001,118.199997,164.050003,170.960007,130.050003,105.769997,96.989998
2024-04-23,88.32,86.690002,85.949997,85.419998,86.349998,97.690002,121.400002,181.259995,136.279999,98.379997,82.870003,77.260002,77.459999,79.379997,78.620003,80.019997,83.019997,89.970001,102.400002,123.010002,125.07,105.099998,92.730003,81.550003
2024-04-24,79.839996,76.099998,75.309998,73.07,76.040001,81.830002,101.660004,131.320007,129.229996,97.080002,92.970001,91.040001,85.620003,83.480003,80.550003,82.690002,85.150002,96.089996,104.040001,135.199997,143.440002,121.160004,105.309998,90.209999
2024-04-25,83.5,80.0,77.370003,76.050003,75.239998,84.019997,102.440002,130.979996,114.360001,92.559998,80.169998,78.199997,73.919998,69.019997,66.809998,69.379997,72.809998,79.879997,95.169998,141.089996,152.289993,113.709999,91.349998,79.739998
2024-04-26,79.870003,74.0,74.199997,74.07,77.099998,82.980003,93.5,104.059998,96.059998,81.080002,77.809998,72.949997,70.349998,68.739998,65.370003,69.919998,71.699997,80.459999,93.879997,128.740005,136.559998,110.0,92.709999,88.260002
2024-04-27,90.290001,88.900002,86.589996,89.029999,87.690002,83.879997,86.080002,79.040001,68.650002,59.07,38.209999,26.09,39.509998,41.41,24.5,10.06,20.93,62.360001,86.0,119.900002,112.269997,85.0,75.900002,65.230003
2024-04-28,56.389999,46.139999,39.599998,32.32,28.49,26.690001,9.95,0.25,0.26,0.22,0.0,-0.96,-1.11,-2.5,-2.52,-2.03,-0.98,0.0,35.439999,59.310001,77.449997,78.190002,62.759998,56.029999
2024-04-29,41.099998,49.709999,53.5,59.5,56.889999,82.129997,99.07,117.949997,100.690002,75.169998,59.209999,36.459999,36.18,35.59,33.630001,35.57,47.68,85.75,104.730003,180.039993,204.570007,108.550003,87.290001,79.199997
2024-04-30,71.989998,65.169998,68.720001,63.650002,52.759998,55.049999,92.669998,99.5,84.449997,69.220001,52.540001,43.91,31.25,11.3,10.0,19.41,45.580002,53.389999,61.049999,65.220001,64.730003,66.050003,54.09,50.049999
2024-05-01,38.0,36.610001,35.82,35.099998,35.59,35.549999,38.290001,28.08,8.68,0.01,-0.97,-2.42,-2.45,-2.09,-2.06,-2.45,-0.98,-0.1,23.25,41.82,48.799999,34.009998,29.92,22.0
2024-05-02,14.56,10.94,10.0,7.8,10.94,30.42,39.82,51.759998,58.630001,31.450001,5.22,-0.08,-1.04,-2.7,-0.05,0.0,4.09,34.919998,39.049999,41.919998,41.990002,41.919998,37.869999,33.93
2024-05-03,29.780001,29.35,29.959999,30.01,30.440001,31.940001,35.080002,42.959999,42.740002,38.689999,38.09,34.98,34.169998,32.610001,31.77,32.130001,34.290001,42.07,80.449997,97.0,110.019997,105.269997,91.32,85.559998
2024-05-04,90.800003,87.790001,86.260002,87.720001,90.639999,98.339996,94.190002,90.019997,78.480003,62.380001,41.169998,31.18,24.93,14.53,13.34,26.030001,63.619999,79.360001,98.010002,121.919998,135.399994,113.559998,90.260002,83.599998
2024-05-05,90.580002,84.82,83.519997,80.489998,74.739998,71.129997,62.16,55.080002,41.330002,25.629999,9.33,3.59,3.18,1.94,1.9,4.27,4.9,32.0,86.5,96.239998,111.919998,107.529999,98.739998,88.669998
2024-05-06,82.860001,79.589996,80.410004,79.949997,64.199997,74.019997,107.089996,130.259995,100.459999,89.0,81.0,64.269997,76.260002,74.709999,74.889999,81.110001,81.620003,93.360001,108.370003,136.649994,143.990005,107.980003,94.580002,64.650002
2024-05-07,75.959999,75.93,75.940002,75.970001,75.989998,76.019997,95.989998,118.209999,112.660004,91.75,82.620003,70.910004,56.91,51.75,47.889999,48.810001,75.599998,90.82,105.860001,133.850006,151.050003,122.040001,101.699997,88.220001
2024-05-08,83.970001,80.839996,80.879997,82.470001,82.480003,81.25,107.480003,118.959999,110.120003,92.410004,85.400002,79.480003,71.18,61.93,62.09,59.889999,64.099998,87.949997,103.949997,124.480003,134.419998,114.650002,96.540001,87.959999
2024-05-09,87.599998,88.059998,82.970001,81.610001,75.510002,76.559998,84.0,80.650002,65.529999,23.34,4.98,1.09,-0.16,-0.59,-0.78,-0.18,3.08,62.07,85.059998,99.410004,118.169998,114.830002,94.650002,87.75
2024-05-10,92.129997,84.93,77.07,74.480003,74.779999,63.950001,72.489998,109.470001,95.599998,67.389999,20.84,2.87,0.52,0.02,0.02,20.42,65.459999,85.879997,105.910004,135.160004,166.630005,136.309998,104.870003,92.160004
2024-05-11,96.760002,94.18,90.029999,89.089996,89.910004,90.699997,86.720001,79.669998,56.470001,6.97,0.79,0.0,-0.58,-0.88,-0.91,-0.07,2.98,32.77,78.43,101.68,122.5,103.480003,86.260002,68.370003
2024-05-12,65.489998,54.5,44.52,41.220001,46.330002,43.5,17.610001,4.79,1.48,-1.23,-2.57,-4.07,-5.09,-6.58,-5.16,-2.09,-0.09,2.59,24.719999,63.619999,73.919998,55.400002,44.43,35.610001
2024-05-13,26.84,25.879999,25.709999,24.700001,27.0,36.650002,48.84,100.949997,76.589996,37.59,18.190001,7.04,1.59,1.01,0.01,1.51,17.190001,33.93,37.599998,43.040001,38.200001,35.119999,31.309999,33.66
2024-05-14,23.379999,19.950001,19.93,19.950001,20.0,23.01,38.369999,54.970001,46.75,7.73,0.33,-1.46,-3.0,-3.72,-4.99,-3.99,-0.92,1.49,32.68,37.619999,37.720001,36.330002,32.419998,16.25
2024-05-15,9.59,8.01,19.379999,16.16,9.99,26.879999,36.200001,57.889999,59.959999,43.52,7.06,0.22,-0.93,-1.05,-0.95,-0.09,1.73,6.95,28.92,36.419998,37.16,35.630001,35.400002,17.35
2024-05-16,2.66,2.73,3.36,4.51,6.87,17.200001,25.969999,46.080002,40.310001,26.75,10.32,1.26,-0.02,-0.71,-0.16,0.92,9.09,17.280001,20.809999,24.360001,26.209999,25.290001,17.84,4.3
2024-05-17,3.3,2.86,2.81,2.82,3.48,4.99,23.07,29.969999,32.450001,25.67,11.18,4.21,2.95,1.93,1.25,2.48,3.28,4.98,7.16,12.92,33.07,32.630001,31.040001,11.37
2024-05-18,9.53,9.99,34.220001,34.900002,34.830002,35.310001,58.32,64.309998,58.290001,42.689999,9.43,0.71,-0.02,-1.3,-2.79,-1.92,-0.04,3.38,49.099998,102.330002,124.110001,114.389999,96.519997,86.599998
2024-05-19,90.690002,89.059998,88.660004,86.910004,86.129997,80.559998,75.57,70.239998,46.959999,5.6,-0.03,-0.18,-2.06,-7.41,-15.07,-10.0,-3.79,-0.06,64.169998,89.589996,113.660004,122.860001,101.93,86.139999
2024-05-20,91.089996,82.639999,86.730003,86.089996,88.209999,91.459999,104.720001,105.690002,72.239998,32.799999,12.41,6.06,2.41,0.01,0.02,3.73,9.42,50.75,78.940002,105.959999,125.760002,116.779999,96.629997,79.860001
2024-05-21,66.010002,27.870001,10.0,10.0,9.99,31.940001,74.150002,117.089996,96.389999,35.380001,30.290001,25.15,20.66,18.33,15.04,20.75,24.99,31.139999,42.349998,55.75,57.360001,57.73,38.650002,8.33
2024-05-22,3.42,2.81,2.63,2.39,2.92,4.94,23.969999,36.450001,38.09,33.279999,23.129999,9.34,4.92,3.61,3.08,3.03,4.29,13.66,56.689999,64.43,64.459999,68.029999,74.620003,68.0
2024-05-23,54.189999,58.0,63.959999,69.309998,68.910004,74.980003,107.980003,118.0,97.839996,75.650002,74.889999,64.099998,52.5,45.310001,56.98,71.400002,83.769997,96.639999,111.489998,156.279999,175.740005,155.979996,123.540001,103.370003
2024-05-24,103.169998,94.120003,89.790001,88.220001,91.800003,103.230003,123.839996,122.07,115.900002,106.099998,96.160004,90.07,88.980003,87.739998,88.120003,88.18,84.269997,98.790001,111.769997,129.990005,125.0,115.839996,109.669998,99.839996
2024-05-25,94.879997,91.830002,90.43,89.160004,89.029999,90.260002,90.68,86.230003,78.580002,74.75,54.23,9.34,3.24,0.04,0.0,1.05,13.2,76.040001,96.230003,115.769997,131.919998,136.949997,115.769997,104.540001
2024-05-26,107.360001,98.300003,90.769997,90.099998,91.160004,88.610001,83.489998,71.900002,12.02,1.25,0.0,-0.09,-2.12,-6.05,-5.1,-2.79,1.18,55.220001,93.260002,118.080002,118.739998,121.099998,106.940002,87.5
2024-05-27,78.339996,73.260002,68.480003,67.870003,70.300003,82.019997,108.699997,132.990005,124.550003,107.220001,88.440002,86.260002,77.339996,74.459999,72.959999,77.779999,84.660004,111.040001,131.399994,186.679993,221.460007,169.860001,131.399994,113.779999
2024-05-28,97.779999,90.5,87.639999,85.220001,83.959999,88.040001,110.339996,120.099998,102.230003,85.43,72.519997,69.169998,61.099998,55.25,55.27,65.660004,72.519997,85.800003,102.279999,130.050003,144.309998,124.0,100.089996,88.779999
2024-05-29,72.220001,57.540001,54.279999,50.59,49.830002,45.91,72.150002,86.449997,91.519997,69.110001,67.849998,62.119999,59.07,62.25,62.18,69.489998,72.669998,89.230003,94.660004,111.440002,140.5,143.259995,120.389999,95.529999
2024-05-30,100.43,96.199997,91.209999,93.629997,94.559998,100.790001,103.370003,106.669998,97.709999,93.900002,85.0,80.0,70.919998,62.970001,62.970001,67.690002,83.75,90.129997,110.669998,135.229996,154.729996,143.449997,112.110001,100.709999
2024-05-31,92.0,78.769997,66.519997,61.700001,62.009998,63.75,88.959999,106.489998,106.110001,99.900002,89.760002,80.050003,73.110001,66.849998,63.73,65.330002,73.269997,84.099998,94.459999,107.940002,115.0,107.910004,99.290001,84.18
2024-06-01,88.580002,86.68,77.75,70.400002,65.110001,65.620003,65.900002,68.089996,70.75,61.349998,47.16,41.860001,21.209999,7.44,2.92,5.8,13.0,52.080002,67.5,81.900002,85.860001,81.760002,84.480003,65.389999
2024-06-02,35.709999,31.120001,15.85,7.22,8.96,5.13,4.91,4.11,0.97,0.0,1.56,0.77,-0.1,-4.01,-5.0,-4.36,-0.08,4.93,14.29,65.610001,94.989998,106.93,106.400002,93.550003
2024-06-03,93.599998,82.550003,80.199997,64.470001,59.98,93.860001,133.279999,193.059998,164.479996,128.080002,99.050003,95.900002,81.089996,63.139999,55.02,51.360001,56.869999,75.169998,111.379997,138.470001,179.300003,173.669998,135.509995,105.910004
2024-06-04,105.510002,97.779999,95.419998,85.860001,80.779999,99.739998,166.940002,177.660004,141.679993,112.370003,91.599998,81.309998,67.339996,55.27,43.860001,47.060001,64.029999,84.879997,116.220001,176.779999,235.520004,140.679993,107.339996,75.809998
2024-06-05,56.849998,43.93,24.6,22.92,22.0,25.559999,36.560001,46.34,48.709999,42.360001,40.009998,41.91,34.93,28.379999,21.93,24.0,35.150002,65.379997,102.57,123.93,152.149994,158.020004,138.080002,103.650002
2024-06-06,87.18,80.599998,76.919998,74.650002,79.830002,89.309998,112.0,117.300003,93.449997,45.25,47.040001,14.83,12.99,12.65,12.55,30.98,49.639999,78.730003,89.919998,112.910004,160.039993,167.720001,132.449997,104.389999
