Scenario_ID,Probability,Hour,Wind_MW,DA_Price,SI_State,Bal_Price
1300,2.2395413419331123e-05,11,276.01750000000004,543.859985,0,462.28098725
1300,2.2395413419331123e-05,12,287.9595,465.380005,0,395.57300425
1300,2.2395413419331123e-05,13,290.2625,405.01001,0,344.2585085
1300,2.2395413419331123e-05,14,287.7355,415.309998,0,353.0134983
1300,2.2395413419331123e-05,15,282.1255,490.359985,1,612.94998125
1300,2.2395413419331123e-05,16,295.1475,668.51001,1,835.6375125
1300,2.2395413419331123e-05,17,295.086,819.01001,1,1023.7625125
1300,2.2395413419331123e-05,18,281.4355,936.309998,0,795.8634983
1300,2.2395413419331123e-05,19,270.8465,674.200012,0,573.0700102
1300,2.2395413419331123e-05,20,261.4235,551.02002,1,688.775025
1300,2.2395413419331123e-05,21,245.6175,295.660004,1,369.57500500000003
1300,2.2395413419331123e-05,22,209.561,169.410004,1,211.76250499999998
1300,2.2395413419331123e-05,23,170.685,150.009995,1,187.51249375
1300,2.2395413419331123e-05,24,134.749,134.759995,0,114.54599575
1301,0.000559885335483292,1,130.051,106.18,0,90.253
1301,0.000559885335483292,2,145.2965,92.190002,1,115.2375025
1301,0.000559885335483292,3,158.9395,84.93,1,106.16250000000001
1301,0.000559885335483292,4,172.525,84.459999,1,105.57499874999999
1301,0.000559885335483292,5,187.3525,84.959999,0,72.21599915
1301,0.000559885335483292,6,202.3435,97.019997,0,82.46699745
1301,0.000559885335483292,7,223.638,136.059998,0,115.6509983
1301,0.000559885335483292,8,240.452,136.0,1,170.0
1301,0.000559885335483292,9,251.889,102.989998,1,128.7374975
1301,0.000559885335483292,10,262.7765,79.339996,1,99.174995
1301,0.000559885335483292,11,276.01750000000004,53.880001,0,45.79800085
1301,0.000559885335483292,12,287.9595,37.810001,1,47.26250125
1301,0.000559885335483292,13,290.2625,31.809999,1,39.76249875
1301,0.000559885335483292,14,287.7355,29.959999,0,25.46599915
1301,0.000559885335483292,15,282.1255,30.93,0,26.290499999999998
1301,0.000559885335483292,16,295.1475,47.849998,0,40.6724983
1301,0.000559885335483292,17,295.086,66.32,0,56.37199999999999
1301,0.000559885335483292,18,281.4355,82.489998,1,103.1124975
1301,0.000559885335483292,19,270.8465,98.389999,0,83.63149915
1301,0.000559885335483292,20,261.4235,153.300003,0,130.30500255
1301,0.000559885335483292,21,245.6175,209.320007,1,261.65000875
1301,0.000559885335483292,22,209.561,156.0,0,132.6
1301,0.000559885335483292,23,170.685,116.589996,0,99.10149659999999
1301,0.000559885335483292,24,134.749,91.889999,0,78.10649915
1302,0.000559885335483292,1,130.051,106.18,0,90.253
1302,0.000559885335483292,2,145.2965,92.190002,1,115.2375025
1302,0.000559885335483292,3,158.9395,84.93,0,72.1905
1302,0.000559885335483292,4,172.525,84.459999,1,105.57499874999999
1302,0.000559885335483292,5,187.3525,84.959999,1,106.19999874999999
1302,0.000559885335483292,6,202.3435,97.019997,0,82.46699745
1302,0.000559885335483292,7,223.638,136.059998,1,170.0749975
1302,0.000559885335483292,8,240.452,136.0,0,115.6
1302,0.000559885335483292,9,251.889,102.989998,0,87.5414983
1302,0.000559885335483292,10,262.7765,79.339996,1,99.174995
1302,0.000559885335483292,11,276.01750000000004,53.880001,1,67.35000125
1302,0.000559885335483292,12,287.9595,37.810001,1,47.26250125
1302,0.000559885335483292,13,290.2625,31.809999,0,27.03849915
1302,0.000559885335483292,14,287.7355,29.959999,0,25.46599915
1302,0.000559885335483292,15,282.1255,30.93,1,38.6625
1302,0.000559885335483292,16,295.1475,47.849998,0,40.6724983
1302,0.000559885335483292,17,295.086,66.32,0,56.37199999999999
1302,0.000559885335483292,18,281.4355,82.489998,0,70.1164983
1302,0.000559885335483292,19,270.8465,98.389999,0,83.63149915
1302,0.000559885335483292,20,261.4235,153.300003,1,191.62500375000002
1302,0.000559885335483292,21,245.6175,209.320007,0,177.92200595
1302,0.000559885335483292,22,209.561,156.0,1,195.0
1302,0.000559885335483292,23,170.685,116.589996,0,99.10149659999999
1302,0.000559885335483292,24,134.749,91.889999,1,114.86249875
1303,0.000559885335483292,1,130.051,106.18,1,132.72500000000002
1303,0.000559885335483292,2,145.2965,92.190002,0,78.3615017
1303,0.000559885335483292,3,158.9395,84.93,1,106.16250000000001
1303,0.000559885335483292,4,172.525,84.459999,1,105.57499874999999
1303,0.000559885335483292,5,187.3525,84.959999,1,106.19999874999999
1303,0.000559885335483292,6,202.3435,97.019997,1,121.27499625
1303,0.000559885335483292,7,223.638,136.059998,1,170.0749975
1303,0.000559885335483292,8,240.452,136.0,1,170.0
1303,0.000559885335483292,9,251.889,102.989998,0,87.5414983
1303,0.000559885335483292,10,262.7765,79.339996,0,67.4389966
1303,0.000559885335483292,11,276.01750000000004,53.880001,0,45.79800085
1303,0.000559885335483292,12,287.9595,37.810001,0,32.13850085
1303,0.000559885335483292,13,290.2625,31.809999,0,27.03849915
1303,0.000559885335483292,14,287.7355,29.959999,0,25.46599915
1303,0.000559885335483292,15,282.1255,30.93,1,38.6625
1303,0.000559885335483292,16,295.1475,47.849998,0,40.6724983
1303,0.000559885335483292,17,295.086,66.32,0,56.37199999999999
1303,0.000559885335483292,18,281.4355,82.489998,1,103.1124975
1303,0.000559885335483292,19,270.8465,98.389999,0,83.63149915
1303,0.000559885335483292,20,261.4235,153.300003,1,191.62500375000002
1303,0.000559885335483292,21,245.6175,209.320007,0,177.92200595
1303,0.000559885335483292,22,209.561,156.0,1,195.0
1303,0.000559885335483292,23,170.685,116.589996,1,145.737495
1303,0.000559885335483292,24,134.749,91.889999,0,78.10649915
1304,0.000559885335483292,1,130.051,106.18,0,90.253
1304,0.000559885335483292,2,145.2965,92.190002,1,115.2375025
1304,0.000559885335483292,3,158.9395,84.93,1,106.16250000000001
1304,0.000559885335483292,4,172.525,84.459999,1,105.57499874999999
1304,0.000559885335483292,5,187.3525,84.959999,1,106.19999874999999
1304,0.000559885335483292,6,202.3435,97.019997,0,82.46699745
1304,0.000559885335483292,7,223.638,136.059998,0,115.6509983
